URL,Anchor,Snippet,Ad
https://www.gett.com/uk,London's black taxi app | Black cabs that come to you,"Download the go-to taxi app for Londoners, with black taxis that come to you in less than 4 minutes. Gett is loved by leisure travellers and businesses ...",false
https://play.google.com/store/apps/details?id=com.gettaxi.android&amp;hl=de,Gett - London's black taxi app – Apps bei Google Play,"Gett – Londons Black-Taxi-App Fahren Sie mit Gett in den legendären Black Cabs durch London – Ihrer bevorzugten Mitfahr-App für schnelle Familienfahrten, ...",false
https://www.gett.com/,Gett: Choose a region,Ready to ride with Gett? You're currently outside of our main regions. Which site would you like to visit? UK IL.,false
https://apps.apple.com/de/app/gett-book-london-black-taxis/id449655162,Gett: Book London black taxis - App Store - Apple,"Gett - London's black taxi app Ride iconic black cabs across London with Gett - your go-to ride-hailing app for fast family trips, airport transfers, ...",false
https://gettransfer.com/de,"Transfers, Fahrten und Lieferung in alle Länder","GetTransfer.com ist der internationale Buchungsservice für Transfers, Fahrten und die Miete von Fahrzeugen mit Fahrer. Wir bieten Dienstleistungen in 150 ...",false
https://en.wikipedia.org/wiki/Gett,Gett,"Gett and previously known as GetTaxi, is an Israeli B2B Ground Transportation Management (GTM) platform and marketplace.",false
https://www.manager-magazin.de/unternehmen/autoindustrie/taxi-vermittlungsdienst-gett-so-funktioniert-vws-neues-investment-a-1094141.html,Taxi-Vermittlungsdienst Gett: So funktioniert VWs neues ...,"25.05.2016 — Dabei startete Gett im Jahr 2011 unter dem Namen Get Taxi, und die Grundidee ist seither gleich geblieben: Gett vermittelt wie sein Gegenspieler ...",false
https://www.facebook.com/get.taxi.hr/,GET TAXI Transfer | Hurghada,"Professional service: Our experienced drivers guarantee a safe, punctual and pleasant ride from the airport to your hotel. Make your booking now! Book today and ...",false
https://www.taxi.de/,Taxi bestellen - einfach online oder bequem per App,Bestellen oder reservieren Sie Ihr Taxi oder laden Sie die gratis Taxi.de App. Einfach ✓ Zuverlässig ✓ Schnell ✓ ▷ Jetzt Taxi bestellen.,false
https://blogs.ncl.ac.uk/ihall/reviews/gett-fixed-fare-black-cabs-review/,Get Taxi – Fixed fare black cabs Review | Isaak Hall,Get taxi is a black cab booking service app that allows you to book Taxis 24hrs a day 7 days a week by a few weeks clicks of your phone.,false
https://gettransfer.com/en,Taxi – Minivan – Minibus,Get The Best Offer & Book Now — Private Transfer to Airport & Hotel. Best Prices. No Hidden Fees. Door-to-Door Service. Private Transfer. Best Meet & Greet Service. Amazing Support Team. Book now! Fixed Transparent Prices.,true
https://gettransfer.com/en,Book Private Taxi Transfer,Get The Best Offer & Book Now — Private Transfer to Airport & Hotel. Best Prices. No Hidden Fees. Door-to-Door Service. Private Transfer. Best Meet & Greet Service. Amazing Support Team. Book now! Fixed Transparent Prices. Online Order & Payment. Child Seats. Meet and Greet Service. Safe & Reliable.,true
